Isolate_Id,PB2 Segment_Id,PB1 Segment_Id,PA Segment_Id,HA Segment_Id,NP Segment_Id,NA Segment_Id,MP Segment_Id,NS Segment_Id,HE Segment_Id,P3 Segment_Id,Isolate_Name,Subtype
EPI_ISL_14925588,EPI2168836|150524133698_PB2_2018,EPI2168837|150524133698_PB1_2018,EPI2168835|150524133698_PA_2018,EPI2168839|150524133698_HA_2018,EPI2168832|150524133698_NP_2018,EPI2168838|150524133698_NA_2018,EPI2168834|150524133698_MP_2018,EPI2168833|150524133698_NS_2018,,,A/Michigan/UOM150524133698/2018,A / H3N2
EPI_ISL_14925589,EPI2168845|150524133699_PB2_2018,EPI2168846|150524133699_PB1_2018,EPI2168844|150524133699_PA_2018,EPI2168848|150524133699_HA_2018,EPI2168840|150524133699_NP_2018,EPI2168847|150524133699_NA_2018,EPI2168842|150524133699_MP_2018,EPI2168841|150524133699_NS_2018,,,A/Michigan/UOM150524133699/2018,A / H3N2
EPI_ISL_14925590,EPI2168853|150524133838_PB2_2018,EPI2168854|150524133838_PB1_2018,EPI2168852|150524133838_PA_2018,EPI2168856|150524133838_HA_2018,EPI2168849|150524133838_NP_2018,EPI2168855|150524133838_NA_2018,EPI2168851|150524133838_MP_2018,EPI2168850|150524133838_NS_2018,,,A/Michigan/UOM150524133838/2018,A / H3N2
EPI_ISL_14925636,EPI2168861|150524133781_PB2_2018,EPI2168862|150524133781_PB1_2018,EPI2168860|150524133781_PA_2018,EPI2168865|150524133781_HA_2018,EPI2168857|150524133781_NP_2018,EPI2168864|150524133781_NA_2018,EPI2168859|150524133781_MP_2018,EPI2168858|150524133781_NS_2018,,,A/Michigan/UOM150524133781/2018,A / H3N2
EPI_ISL_14925637,EPI2168870|150524133703_PB2_2018,EPI2168871|150524133703_PB1_2018,EPI2168869|150524133703_PA_2018,EPI2168873|150524133703_HA_2018,EPI2168866|150524133703_NP_2018,EPI2168872|150524133703_NA_2018,EPI2168868|150524133703_MP_2018,EPI2168867|150524133703_NS_2018,,,A/Michigan/UOM150524133703/2018,A / H3N2
EPI_ISL_14925638,EPI2168879|150524133839_PB2_2018,EPI2168880|150524133839_PB1_2018,EPI2168878|150524133839_PA_2018,EPI2168882|150524133839_HA_2018,EPI2168874|150524133839_NP_2018,EPI2168881|150524133839_NA_2018,EPI2168877|150524133839_MP_2018,EPI2168876|150524133839_NS_2018,,,A/Michigan/UOM150524133839/2018,A / H3N2
EPI_ISL_14925639,EPI2168887|150524133704_PB2_2018,EPI2168888|150524133704_PB1_2018,EPI2168886|150524133704_PA_2018,EPI2168890|150524133704_HA_2018,EPI2168883|150524133704_NP_2018,EPI2168889|150524133704_NA_2018,EPI2168885|150524133704_MP_2018,EPI2168884|150524133704_NS_2018,,,A/Michigan/UOM150524133704/2018,A / H3N2
EPI_ISL_14925640,EPI2168896|150524133707_PB2_2018,EPI2168897|150524133707_PB1_2018,EPI2168895|150524133707_PA_2018,EPI2168899|150524133707_HA_2018,EPI2168892|150524133707_NP_2018,EPI2168898|150524133707_NA_2018,EPI2168894|150524133707_MP_2018,EPI2168893|150524133707_NS_2018,,,A/Michigan/UOM150524133707/2018,A / H3N2
EPI_ISL_14925641,EPI2168904|150524133708_PB2_2018,EPI2168905|150524133708_PB1_2018,EPI2168903|150524133708_PA_2018,EPI2168908|150524133708_HA_2018,EPI2168900|150524133708_NP_2018,EPI2168906|150524133708_NA_2018,EPI2168902|150524133708_MP_2018,EPI2168901|150524133708_NS_2018,,,A/Michigan/UOM150524133708/2018,A / H3N2
EPI_ISL_14925642,EPI2168913|150524133710_PB2_2018,EPI2168914|150524133710_PB1_2018,EPI2168912|150524133710_PA_2018,EPI2168916|150524133710_HA_2018,EPI2168909|150524133710_NP_2018,EPI2168915|150524133710_NA_2018,EPI2168911|150524133710_MP_2018,EPI2168910|150524133710_NS_2018,,,A/Michigan/UOM150524133710/2018,A / H3N2
